Date,Close
1/5/2018,273.42
1/8/2018,273.92
1/9/2018,274.54
1/10/2018,274.12
1/11/2018,276.12
1/12/2018,277.92
1/16/2018,276.97
1/17/2018,279.61
1/18/2018,279.14
1/19/2018,280.41
1/22/2018,282.69
1/23/2018,283.29
1/24/2018,283.18
1/25/2018,283.3
1/26/2018,286.58
1/29/2018,284.68
1/30/2018,281.76
1/31/2018,281.9
2/1/2018,281.58
2/2/2018,275.45
2/5/2018,263.93
2/6/2018,269.13
2/7/2018,267.67
2/8/2018,257.63
2/9/2018,261.5
2/12/2018,265.34
2/13/2018,266
2/14/2018,269.59
2/15/2018,273.03
2/16/2018,273.11
2/20/2018,271.4
2/21/2018,270.05
2/22/2018,270.4
2/23/2018,274.71
2/26/2018,277.9
2/27/2018,274.43
2/28/2018,271.65
3/1/2018,267.7
3/2/2018,269.08
3/5/2018,272.19
3/6/2018,272.88
3/7/2018,272.78
3/8/2018,274.1
3/9/2018,278.87
3/12/2018,278.52
3/13/2018,276.72
3/14/2018,275.3
3/15/2018,275
3/16/2018,274.2
3/19/2018,270.49
3/20/2018,270.95
3/21/2018,270.43
3/22/2018,263.67
3/23/2018,258.05
3/26/2018,265.11
3/27/2018,260.6
3/28/2018,259.83
3/29/2018,263.15
4/2/2018,257.47
4/3/2018,260.77
4/4/2018,263.56
4/5/2018,265.64
4/6/2018,259.72
4/9/2018,261
4/10/2018,265.15
4/11/2018,263.76
4/12/2018,265.93
4/13/2018,265.15
4/16/2018,267.33
4/17/2018,270.19
4/18/2018,270.39
4/19/2018,268.89
4/20/2018,266.61
4/23/2018,266.57
4/24/2018,262.98
4/25/2018,263.63
4/26/2018,266.31
4/27/2018,266.56
4/30/2018,264.51
5/1/2018,264.98
5/2/2018,263.2
5/3/2018,262.62
5/4/2018,266.02
5/7/2018,266.92
5/8/2018,266.92
5/9/2018,269.5
5/10/2018,272.02
5/11/2018,272.85
5/14/2018,272.98
5/15/2018,271.1
5/16/2018,272.24
5/17/2018,272.01
5/18/2018,271.33
5/21/2018,273.37
5/22/2018,272.61
5/23/2018,273.36
5/24/2018,272.8
5/25/2018,272.15
5/29/2018,269.02
5/30/2018,272.61
5/31/2018,270.94
6/1/2018,273.6
6/4/2018,274.9
6/5/2018,275.1
6/6/2018,277.4
6/7/2018,277.37
6/8/2018,278.19
6/11/2018,278.56
6/12/2018,278.92
6/13/2018,278.03
6/14/2018,278.73
6/15/2018,277.13
6/18/2018,276.56
6/19/2018,275.5
6/20/2018,275.97
6/21/2018,274.24
6/22/2018,274.74
6/25/2018,271
6/26/2018,271.6
6/27/2018,269.35
6/28/2018,270.89
6/29/2018,271.28
7/2/2018,271.86
7/3/2018,270.9
7/5/2018,273.11
7/6/2018,275.42
7/9/2018,277.9
7/10/2018,278.9
7/11/2018,276.86
7/12/2018,279.37
7/13/2018,279.59
7/16/2018,279.34
7/17/2018,280.47
7/18/2018,281.06
7/19/2018,280
7/20/2018,279.68
7/23/2018,280.2
7/24/2018,281.61
7/25/2018,284.01
7/26/2018,283.34
7/27/2018,281.42
7/30/2018,279.95
7/31/2018,281.33
8/1/2018,280.86
8/2/2018,282.39
8/3/2018,283.6
8/6/2018,284.64
8/7/2018,285.58
8/8/2018,285.46
8/9/2018,285.07
8/10/2018,283.16
8/13/2018,282.1
8/14/2018,283.9
8/15/2018,281.78
8/16/2018,284.06
8/17/2018,285.06
8/20/2018,285.67
8/21/2018,286.34
8/22/2018,286.17
8/23/2018,285.79
8/24/2018,287.51
8/27/2018,289.78
8/28/2018,289.92
8/29/2018,291.48
8/30/2018,290.3
8/31/2018,290.31
9/4/2018,289.81
9/5/2018,289.03
9/6/2018,288.16
9/7/2018,287.6
9/10/2018,288.1
9/11/2018,289.05
9/12/2018,289.12
9/13/2018,290.83
9/14/2018,290.88
9/17/2018,289.34
9/18/2018,290.91
9/19/2018,291.22
9/20/2018,293.58
9/21/2018,291.99
9/24/2018,291.02
9/25/2018,290.75
9/26/2018,289.88
9/27/2018,290.69
9/28/2018,290.72
10/1/2018,291.73
10/2/2018,291.56
10/3/2018,291.72
10/4/2018,289.44
10/5/2018,287.82
10/8/2018,287.82
10/9/2018,287.4
10/10/2018,278.3
10/11/2018,272.17
10/12/2018,275.95
10/15/2018,274.4
10/16/2018,280.4
10/17/2018,280.45
10/18/2018,276.4
10/19/2018,276.25
10/22/2018,275.01
10/23/2018,273.61
10/24/2018,265.32
10/25/2018,270.08
10/26/2018,265.33
10/29/2018,263.86
10/30/2018,267.77
10/31/2018,270.63
11/1/2018,273.51
11/2/2018,271.89
11/5/2018,273.39
11/6/2018,275.12
11/7/2018,281.01
11/8/2018,280.5
11/9/2018,277.76
11/12/2018,272.57
11/13/2018,272.06
11/14/2018,270.2
11/15/2018,273.02
11/16/2018,273.73
11/19/2018,269.1
11/20/2018,264.12
11/21/2018,265.02
11/23/2018,263.25
11/26/2018,267.5
11/27/2018,268.4
11/28/2018,274.58
11/29/2018,273.98
11/30/2018,275.65
12/3/2018,279.3
12/4/2018,270.25
12/6/2018,269.84
12/7/2018,263.57
12/10/2018,264.07
12/11/2018,264.13
12/12/2018,265.46
12/13/2018,265.37
12/14/2018,260.47
12/17/2018,255.36
12/18/2018,255.08
12/19/2018,251.26
12/20/2018,247.17
12/21/2018,240.7
12/24/2018,234.34
12/26/2018,246.18
12/27/2018,248.07
12/28/2018,247.75
12/31/2018,249.92
1/2/2019,250.18
1/3/2019,244.21
1/4/2019,252.39
1/7/2019,254.38
1/8/2019,256.77
1/9/2019,257.97
1/10/2019,258.88
1/11/2019,258.98
1/14/2019,257.4
1/15/2019,260.35
1/16/2019,260.98
1/17/2019,262.96
1/18/2019,266.46
1/22/2019,262.86
1/23/2019,263.41
1/24/2019,263.55
1/25/2019,265.78
1/28/2019,263.76
1/29/2019,263.41
1/30/2019,267.58
1/31/2019,269.93
2/1/2019,270.06
2/4/2019,271.96
2/5/2019,273.1
2/6/2019,272.74
2/7/2019,270.14
2/8/2019,270.47
2/11/2019,270.62
2/12/2019,274.1
2/13/2019,274.99
2/14/2019,274.38
2/15/2019,277.37
2/19/2019,277.85
2/20/2019,278.41
2/21/2019,277.42
2/22/2019,279.14
2/25/2019,279.52
2/26/2019,279.32
2/27/2019,279.2
2/28/2019,278.68
3/1/2019,280.42
3/4/2019,279.4
3/5/2019,279.02
3/6/2019,277.33
3/7/2019,275.01
3/8/2019,274.46
3/11/2019,278.44
3/12/2019,279.49
3/13/2019,281.34
3/14/2019,281.16
3/15/2019,281.31
3/18/2019,282.33
3/19/2019,282.4
3/20/2019,281.55
3/21/2019,284.73
3/22/2019,279.25
3/25/2019,279.04
3/26/2019,281.12
3/27/2019,279.65
3/28/2019,280.71
3/29/2019,282.48
4/1/2019,285.83
4/2/2019,285.97
4/3/2019,286.42
4/4/2019,287.18
4/5/2019,288.57
4/8/2019,288.79
4/9/2019,287.31
4/10/2019,288.29
4/11/2019,288.21
4/12/2019,290.16
4/15/2019,289.97
4/16/2019,290.16
4/17/2019,289.45
4/18/2019,290.02
4/22/2019,290.27
4/23/2019,292.88
4/24/2019,292.23
4/25/2019,292.05
4/26/2019,293.41
4/29/2019,293.87
4/30/2019,294.02
5/1/2019,291.81
5/2/2019,291.18
5/3/2019,294.03
5/6/2019,292.82
5/7/2019,287.93
5/8/2019,287.53
5/9/2019,286.66
5/10/2019,288.1
5/13/2019,280.86
5/14/2019,283.4
5/15/2019,285.06
5/16/2019,287.7
5/17/2019,285.84
